time,cbr,,time,tcp
,,,6.654672,822.0450234
,,,6.65528,678.2043731
,,,6.655408,336.1296558
,,,6.655504,822.0985218
,,,6.656336,822.1520067
,,,6.657168,822.2054784
,,,6.657264,678.1584747
,,,6.658,822.2589366
,,,6.658096,678.2299324
,,,6.658544,336.1275378
,,,6.658832,822.3123815
,,,6.658928,678.3013722
,,,6.659376,336.2417139
,,,6.65976,678.3727942
,,,6.660464,822.2670373
,,,6.660592,678.4441984
,,,6.661296,822.3204614
,,,6.661424,678.5155847
,,,6.662128,822.3738721
,,,6.662256,678.5869531
,,,6.662512,336.2395445
,,,6.66296,822.4272696
,,,6.663088,678.6583038
,,,6.663344,336.3536387
,,,6.663792,822.4806537
,,,6.66392,678.7296366
,,,6.664624,822.5340244
,,,6.664752,678.8009516
,,,6.665456,822.5873819
,,,6.666288,822.640726
,,,6.666384,678.7907807
,,,6.66648,336.3514178
,,,6.66712,822.6940568
,,,6.667216,678.8620618
,,,6.667312,336.4654301
,,,6.668048,678.933325
,,,6.668752,822.6486755
,,,6.66888,679.0045705
,,,6.669584,822.7019856
,,,6.669712,679.0757982
,,,6.670416,822.7552824
,,,6.670448,336.4631581
,,,6.670544,679.1470081
,,,6.671248,822.808566
,,,6.67128,336.5770887
,,,6.671376,679.2182003
,,,6.67208,822.8618362
,,,6.672208,679.2893747
,,,6.672912,822.9150931
,,,6.673264,336.6328681
,,,6.673744,822.9683368
,,,6.67384,679.2790957
,,,6.674096,336.7467294
,,,6.674576,823.0215672
,,,6.674672,679.3502362
,,,6.674928,336.8605624
,,,6.675408,823.0747843
,,,6.675504,679.421359
,,,6.67576,336.974367
,,,6.676336,679.4924641
,,,6.676592,337.0881432
,,,6.67704,823.0293663
,,,6.677168,679.5635515
,,,6.677424,337.201891
,,,6.677872,823.0825628
,,,6.678,679.6346211
,,,6.678448,337.305913
,,,6.678704,823.1357461
,,,6.678832,679.7056731
,,,6.67928,337.4196021
,,,6.679536,823.1889161
,,,6.679664,679.7767073
,,,6.680368,823.2420729
,,,6.6812,823.2952164
,,,6.681264,337.4750646
,,,6.682032,823.3483467
,,,6.682096,337.5886847
,,,6.682864,823.4014638
,,,6.682928,337.7022766
,,,6.68376,337.8158402
,,,6.684496,823.3560167
,,,6.684592,337.9293755
,,,6.685328,823.4091132
,,,6.685424,338.0428825
,,,6.686,679.5991624
,,,6.68616,823.4621965
,,,6.686448,338.1466513
,,,6.686832,679.6701338
,,,6.686992,823.5152667
,,,6.68728,338.2600998
,,,6.687824,823.5683236
,,,6.688656,823.6213673
,,,6.689264,338.3152466
,,,6.689488,823.6743978
,,,6.689968,679.5069872
,,,6.690096,338.4286264
,,,6.69032,823.7274151
,,,6.6908,679.5779279
,,,6.690928,338.541978
,,,6.691152,823.7804193
,,,6.69176,338.6553014
,,,6.692592,338.7685967
,,,6.692784,823.734936
,,,6.693424,338.8818638
,,,6.693616,823.7879197
,,,6.693936,679.4149212
,,,6.694256,338.9951027
,,,6.694448,823.8408902
,,,6.694768,679.4858313
,,,6.695088,339.1083134
,,,6.69528,823.8938476
,,,6.69592,339.2214961
,,,6.696112,823.9467918
,,,6.696752,339.3346506
,,,6.696944,823.9997229
,,,6.697776,824.0526408
,,,6.697904,679.3229643
,,,6.698384,339.4072361
,,,6.698608,824.1055455
,,,6.698736,679.3938439
,,,6.699216,339.520326
,,,6.69944,824.1584371
,,,6.701072,824.1129181
,,,6.701872,679.2311163
,,,6.701904,824.1657893
,,,6.702704,679.3019653
,,,6.702736,824.2186474
,,,6.703568,824.2714924
,,,6.7044,824.3243243
,,,6.705232,824.3771431
,,,6.705264,679.1977169
,,,6.706064,824.4299488
,,,6.706096,679.2685342
,,,6.706896,824.4827413
,,,6.706928,679.3393339
,,,6.70776,679.410116
,,,6.708528,824.437194
,,,6.708592,679.4808806
,,,6.70936,824.4899663
,,,6.709424,679.5516277
,,,6.710192,824.5427255
,,,6.710256,679.6223572
,,,6.711024,824.5954716
,,,6.711088,679.6930691
,,,6.711856,824.6482046
,,,6.712688,824.7009246
,,,6.713264,679.6276744
,,,6.71352,824.7536315
,,,6.713968,338.9292293
,,,6.714096,679.698354
,,,6.714352,824.8063253
,,,6.7148,339.0421159
,,,6.714928,679.7690161
,,,6.715184,824.8590061
,,,6.71576,679.8396607
,,,6.716592,679.9102878
,,,6.716816,824.8134235
,,,6.717424,679.9808974
,,,6.717648,824.8660841
,,,6.718,339.0354272
,,,6.718256,680.0514896
,,,6.71848,824.9187316
,,,6.718832,339.1482329
,,,6.719088,680.1220642
,,,6.719312,824.9713661
,,,6.720144,825.0239876
,,,6.720976,825.076596
,,,6.721264,680.0566084
,,,6.721808,825.1291914
,,,6.721968,339.1447267
,,,6.722096,680.1271508
,,,6.72264,825.1817738
,,,6.7228,339.2574523
,,,6.722928,680.1976758
,,,6.723472,825.2343432
,,,6.72376,680.2681833
,,,6.724592,680.3386733
,,,6.725104,825.1887257
,,,6.725424,680.409146
,,,6.725936,825.241275
,,,6.726256,680.4796011
,,,6.726768,825.2938112
,,,6.727088,680.5500389
,,,6.7276,825.3463345
,,,6.72792,680.6204592
,,,6.728432,825.3988448
,,,6.728752,680.6908621
,,,6.729264,825.4513421
,,,6.729904,339.3629389
,,,6.730096,825.5038264
,,,6.730384,680.6803297
,,,6.730736,339.4755046
,,,6.730928,825.5562977
,,,6.731216,680.7506994
,,,6.732048,680.8210518
,,,6.73256,825.5106527
,,,6.73288,680.8913867
,,,6.733392,825.563104
,,,6.733712,680.9617043
,,,6.733872,339.4718522
,,,6.734224,825.6155423
,,,6.734544,681.0320045
,,,6.734704,339.5843381
,,,6.735056,825.6679677
,,,6.735376,681.1022874
,,,6.735888,825.7203801
,,,6.736208,681.1725529
,,,6.73672,825.7727796
,,,6.73704,681.242801
,,,6.737264,339.6096694
,,,6.737552,825.8251662
,,,6.738096,339.7220817
,,,6.738384,825.8775398
,,,6.738672,681.2321478
,,,6.738928,339.8344663
,,,6.739216,825.9299005
,,,6.739504,681.3023629
,,,6.73976,339.946823
,,,6.740336,681.3725607
,,,6.740592,340.0591521
,,,6.740848,825.8842211
,,,6.741168,681.4427411
,,,6.741424,340.1714534
,,,6.74168,825.9365618
,,,6.742,681.5129042
,,,6.742256,340.283727
,,,6.742512,825.9888896
,,,6.742832,681.58305
,,,6.743088,340.3959729
,,,6.743344,826.0412045
,,,6.743664,681.6531785
,,,6.744176,826.0935065
,,,6.744496,681.7232896
,,,6.745008,826.1457955
,,,6.745264,340.4403445
,,,6.74584,826.1980717
,,,6.746096,340.552521
,,,6.746128,681.712532
,,,6.746672,826.250335
,,,6.746928,340.6646699
,,,6.74696,681.7826102
,,,6.747504,826.3025854
,,,6.74776,340.7767911
,,,6.748592,340.8888847
,,,6.749136,826.256872
,,,6.749424,681.6878003
,,,6.749968,826.3091025
,,,6.750256,681.7578474
,,,6.7508,826.3613201
,,,6.751088,341.2249996
,,,6.751632,826.4135249
,,,6.752464,826.4657168
,,,6.753264,341.2690515
,,,6.753296,826.5178959
,,,6.753392,681.5952635
,,,6.754096,341.3809931
,,,6.754128,826.570062
,,,6.754224,681.6652809
,,,6.754928,341.4929071
,,,6.75496,826.6222154
,,,6.75576,341.6047935
,,,6.756592,826.5764752
,,,6.75736,681.5028354
,,,6.757424,826.6286088
,,,6.758192,681.572823
,,,6.758256,826.6807295
,,,6.759088,826.7328373
,,,6.75992,826.7849324
,,,6.760752,826.8370146
,,,6.761328,681.4105158
,,,6.761584,826.889084
,,,6.76216,681.4804737
,,,6.762384,342.3467227
,,,6.762416,826.9411406
,,,6.763216,342.4583807
,,,6.763248,826.9931843
,,,6.764048,342.5700113
,,,6.76488,826.9474107
,,,6.765296,681.3183045
,,,6.765712,826.9994348
,,,6.766128,681.3882327
,,,6.766544,827.0514461
,,,6.767376,827.1034445
,,,6.768208,827.1554302
,,,6.76904,827.2074031
,,,6.769264,681.2262013
,,,6.769872,827.2593632
,,,6.770096,681.2960998
,,,6.770704,827.3113106
,,,6.770928,681.3659811
,,,6.771536,827.3632452
,,,6.77176,681.4358453
,,,6.772592,681.5056924
,,,6.773168,827.3174385
,,,6.773424,681.5755222
,,,6.774,827.3693534
,,,6.774256,681.6453349
,,,6.774832,827.4212556
,,,6.775088,681.7151305
,,,6.775664,827.4731451
,,,6.776496,827.5250218
,,,6.777264,681.6497041
,,,6.777328,827.5768858
,,,6.777392,342.048977
,,,6.778096,681.7194681
,,,6.77816,827.628737
,,,6.778224,342.1604243
,,,6.778928,681.789215
,,,6.778992,827.6805755
,,,6.77976,681.8589449
,,,6.780592,681.9286576
,,,6.780624,827.6347428
,,,6.781424,681.9983531
,,,6.781456,827.6865617
,,,6.782256,682.0680316
,,,6.782288,827.7383679
,,,6.783088,682.137693
,,,6.78312,827.7901615
,,,6.783952,827.8419423
,,,6.784784,827.8937104
,,,6.785264,682.0722082
,,,6.785392,342.2587818
,,,6.785616,827.9454658
,,,6.786096,682.1418383
,,,6.786224,342.3700721
,,,6.786448,827.9972086
,,,6.786928,682.2114512
,,,6.78728,828.0489386
,,,6.78776,682.2810471
,,,6.788112,828.100656
,,,6.788592,682.3506259
